id,question,option1,option2,option3,correct,explanation,difficulty,generated
1001,"Quale forma è corretta?","Mi piace di più","Mi piace più","Mi piace molto più",0,"La forma corretta è 'Mi piace di più'. In italiano, con il verbo 'piacere' si usa 'di più' per fare comparazioni.",A2,GPT4
1002,"Come si dice 'I am learning Italian' in italiano?","Sto imparando l'italiano","Imparo l'italiano","Sono imparando l'italiano",0,"La traduzione corretta di 'I am learning Italian' è 'Sto imparando l'italiano'.",A2,GPT4
1003,"Qual è la forma corretta del verbo 'essere' al passato remoto per 'noi'?","fummo","foste","fui",0,"La forma corretta è 'fummo'.",B1,GPT4
1004,"Quale tra queste parole non è un aggettivo?","Albero","Bello","Grande",0,"'Albero' è un sostantivo, non un aggettivo.",A2,GPT4
1005,"Qual è il sinonimo di 'felice'?","Triste","Contento","Arrabbiato",1,"'Contento' è un sinonimo di 'felice'.",A2,GPT4
1006,"Qual è il significato di 'andare' al futuro?","Andrò","Andavo","Andai",0,"La forma futura del verbo 'andare' è 'andrò'.",B1,GPT4
1007,"Quale frase è corretta?","Lui ha mangiato","Lui ha mangiò","Lui ha mangiare",0,"La forma corretta è 'Lui ha mangiato'.",B1,GPT4
1008,"Quale preposizione si usa con 'Italia'?","in","a","da",0,"Si usa 'in' con i nomi di nazioni: 'in Italia'.",A2,GPT4
1009,"Quale forma è corretta del congiuntivo presente del verbo 'avere' per 'noi'?","abbiamo","abbiamo","abbiamo",0,"La forma corretta è 'abbiamo'.",B2,GPT4
1010,"Qual è il significato di 'dovere' al condizionale presente?","dovrei","devo","dovevo",0,"La forma corretta è 'dovrei'.",B1,GPT4
1011,"Qual è il participio passato del verbo 'scrivere'?","scritto","scrivuto","scritto",0,"La forma corretta è 'scritto'.",B1,GPT4
1012,"Qual è la forma corretta del verbo 'essere' al congiuntivo imperfetto per 'loro'?","fossero","foste","fui",0,"La forma corretta è 'fossero'.",B2,GPT4
1013,"Qual è il sinonimo di 'affamato'?","Fame","Affamato","Affamato",0,"La forma corretta è 'affamato'.",A2,GPT4
1014,"Qual è il sinonimo di 'arrabbiato'?","Calmo","Irritato","Felice",1,"La forma corretta è 'irritato'.",A2,GPT4
1015,"Quale forma è corretta per il verbo 'fare' al futuro per 'io'?","farò","farò","farai",0,"La forma corretta è 'farò'.",B1,GPT4
1016,"Quale preposizione si usa con 'Parigi'?","a","in","da",0,"Si usa 'a' con i nomi di città: 'a Parigi'.",A2,GPT4
1017,"Quale frase è corretta?","Io studio l'italiano","Io studiare l'italiano","Io studia l'italiano",0,"La forma corretta è 'Io studio l'italiano'.",A2,GPT4
1018,"Quale forma è corretta del congiuntivo presente del verbo 'essere' per 'io'?","sia","sia","sia",0,"La forma corretta è 'sia'.",B2,GPT4
1019,"Qual è il sinonimo di 'triste'?","Allegro","Contento","Infelice",2,"La forma corretta è 'infelice'.",A2,GPT4
1020,"Qual è il significato di 'potere' al condizionale presente?","potrei","posso","potevo",0,"La forma corretta è 'potrei'.",B1,GPT4
1021,"Qual è il significato della parola 'oscurare'?","Rendere chiaro","Rendere scuro","Ignorare",1,"'Oscurare' significa 'rendere scuro'.",B2,GPT4
1022,"Quale forma è corretta per il futuro anteriore del verbo 'partire' per 'noi'?","saremo partiti","siamo partiti","partimmo",0,"La forma corretta è 'saremo partiti'.",B2,GPT4
1023,"Quale frase è corretta?","Se fossi stato","Se ero stato","Se sarei stato",0,"La forma corretta è 'Se fossi stato'.",B2,GPT4
1024,"Quale preposizione si usa con 'libro' in 'sto leggendo un libro'?","di","da","su",2,"Si usa 'su' per indicare l'argomento: 'sto leggendo un libro su...'.",B1,GPT4
1025,"Qual è il significato di 'frequentare'?","Evitare","Incontrare spesso","Partecipare",2,"'Frequentare' significa 'incontrare spesso'.",B2,GPT4
1026,"Qual è la forma corretta del verbo 'venire' al passato remoto per 'io'?","venni","venuto","venivo",0,"La forma corretta è 'venni'.",B2,GPT4
1027,"Qual è il participio passato del verbo 'leggere'?","leggiuto","letto","leggete",1,"La forma corretta è 'letto'.",B1,GPT4
1028,"Qual è il significato di 'fare' al condizionale presente?","farei","faccio","facevo",0,"La forma corretta è 'farei'.",B1,GPT4
1029,"Qual è la forma corretta del congiuntivo imperfetto del verbo 'essere' per 'tu'?","fossi","sarei","eri",0,"La forma corretta è 'fossi'.",B2,GPT4
1030,"Quale preposizione si usa con 'film' in 'sto guardando un film'?","di","a","su",2,"Si usa 'su' per indicare l'argomento: 'sto guardando un film su...'.",B1,GPT4
1031,"Qual è il significato di 'ingannare'?","Mentire","Sbagliare","Riconoscere",0,"'Ingannare' significa 'mentire' o 'frodare'.",B2,GPT4
1032,"Qual è la forma corretta del congiuntivo presente del verbo 'sapere' per 'voi'?","sappiate","sapete","sapete",0,"La forma corretta è 'sappiate'.",B2,GPT4
1033,"Qual è il participio passato del verbo 'aprire'?","aprito","aperto","apriuto",1,"La forma corretta è 'aperto'.",B1,GPT4
1034,"Qual è il significato di 'svelare'?","Nascondere","Rivelare","Confondere",1,"'Svelare' significa 'rivelare' o 'scoprire'.",B2,GPT4
1035,"Qual è la forma corretta del futuro anteriore del verbo 'vedere' per 'io'?","avrò visto","sarò visto","avevo visto",0,"La forma corretta è 'avrò visto'.",B2,GPT4
1036,"Quale frase è corretta?","Se avessi saputo","Se avevo saputo","Se sapevo",0,"La forma corretta è 'Se avessi saputo'.",B2,GPT4
1037,"Qual è il sinonimo di 'rapido'?","Veloce","Lento","Graduale",0,"'Veloce' è un sinonimo di 'rapido'.",A2,GPT4
1038,"Qual è il significato di 'affrontare'?","Evitare","Affrontare","Incontrare",1,"'Affrontare' significa 'fare fronte a' o 'trattare un problema'.",B2,GPT4
1039,"Quale preposizione si usa con 'matrimonio'?","a","di","con",1,"Si usa 'di' con il termine 'matrimonio': 'matrimonio di...'.",B1,GPT4
1040,"Qual è il significato di 'affermare'?","Negare","Afferrare","Dichiarare",2,"'Affermare' significa 'dichiarare' o 'sostenere'.",B2,GPT4
1041,"Qual è il participio passato del verbo 'rispondere'?","risposto","risponuto","risponsato",0,"La forma corretta è 'risposto'.",B1,GPT4
1042,"Qual è la forma corretta del congiuntivo presente del verbo 'andare' per 'noi'?","andiamo","andiate","andiamo",1,"La forma corretta è 'andiamo'.",B2,GPT4
1043,"Qual è il sinonimo di 'grande'?","Piccolo","Enorme","Minimo",1,"'Enorme' è un sinonimo di 'grande'.",A2,GPT4
1044,"Qual è il significato di 'raggiungere'?","Arrivare","Partire","Perdere",0,"'Raggiungere' significa 'arrivare a un luogo o obiettivo'.",B2,GPT4
1045,"Quale preposizione si usa con 'casa'?","in","a","da",2,"Si usa 'da' con il termine 'casa': 'da casa'.",B1,GPT4
1046,"Qual è la forma corretta del passato remoto del verbo 'mettere' per 'io'?","misi","messo","metti",0,"La forma corretta è 'misi'.",B2,GPT4
1047,"Qual è il participio passato del verbo 'prendere'?","preso","prenduto","preso",0,"La forma corretta è 'preso'.",B1,GPT4
1048,"Qual è il sinonimo di 'immediato'?","Ritardato","Diretto","Istanteo",2,"'Istanteo' è un sinonimo di 'immediato'.",A2,GPT4
1049,"Quale preposizione si usa con 'università'?","a","in","da",0,"Si usa 'a' con il termine 'università': 'a università'.",B1,GPT4
1050,"Qual è il significato di 'scoprire'?","Nascondere","Trovare","Perdere",1,"'Scoprire' significa 'trovare qualcosa di nuovo'.",B2,GPT4
1051,"Quale frase è corretta?","Lui ha finito","Lui ha finire","Lui finì",0,"La forma corretta è 'Lui ha finito'.",B1,GPT4
1052,"Qual è il sinonimo di 'difficile'?","Facile","Complicato","Semplice",1,"'Complicato' è un sinonimo di 'difficile'.",A2,GPT4
1053,"Qual è la forma corretta del congiuntivo presente del verbo 'avere' per 'tu'?","abbia","abbi","hai",0,"La forma corretta è 'abbia'.",B2,GPT4
1054,"Qual è il participio passato del verbo 'bere'?","bevuto","beviuto","bevato",0,"La forma corretta è 'bevuto'.",B1,GPT4
1055,"Qual è il significato di 'allontanare'?","Avvicinare","Distanziare","Ritornare",1,"'Allontanare' significa 'distanziare' o 'fare andare via'.",B2,GPT4
1056,"Qual è la forma corretta del futuro anteriore del verbo 'essere' per 'noi'?","saremo stati","saranno stati","saremmo stati",0,"La forma corretta è 'saremo stati'.",B2,GPT4
1057,"Quale frase è corretta?","Lei ha letto","Lei ha leggere","Lei leggeva",0,"La forma corretta è 'Lei ha letto'.",B1,GPT4
1058,"Qual è il sinonimo di 'costruire'?","Distruggere","Edificare","Eliminare",1,"'Edificare' è un sinonimo di 'costruire'.",A2,GPT4
1059,"Qual è il significato di 'superare'?","Fallire","Ostacolare","Ottenere",2,"'Superare' significa 'ottenere un risultato positivo'.",B2,GPT4
1060,"Qual è la forma corretta del congiuntivo imperfetto del verbo 'avere' per 'noi'?","avessimo","avevamo","abbiamo",0,"La forma corretta è 'avessimo'.",B2,GPT4
1061,"Qual è il participio passato del verbo 'vivere'?","vissuto","vivuto","vivito",0,"La forma corretta è 'vissuto'.",B1,GPT4
1062,"Qual è il sinonimo di 'silenzioso'?","Rumoroso","Tranquillo","Vivace",1,"'Tranquillo' è un sinonimo di 'silenzioso'.",A2,GPT4
1063,"Qual è il significato di 'insegnare'?","Apprendere","Educare","Ignorare",1,"'Insegnare' significa 'educare o impartire conoscenza'.",B2,GPT4
1064,"Qual è la forma corretta del congiuntivo presente del verbo 'fare' per 'voi'?","facciate","fate","facciano",0,"La forma corretta è 'facciate'.",B2,GPT4
1065,"Qual è il significato di 'trascorrere'?","Passare","Sprecare","Dimenticare",0,"'Trascorrere' significa 'passare del tempo'.",B2,GPT4
1066,"Qual è il participio passato del verbo 'leggere'?","letto","leggito","legguto",0,"La forma corretta è 'letto'.",B1,GPT4
1067,"Qual è il sinonimo di 'importante'?","Secondario","Rilevante","Negligibile",1,"'Rilevante' è un sinonimo di 'importante'.",A2,GPT4
1068,"Qual è il significato di 'commettere'?","Evitare","Perdonare","Fare",2,"'Commettere' significa 'fare qualcosa, spesso un errore'.",B2,GPT4
1069,"Qual è la forma corretta del congiuntivo presente del verbo 'dire' per 'noi'?","diciamo","diciate","dicessimo",0,"La forma corretta è 'diciamo'.",B2,GPT4
1070,"Qual è il significato di 'conseguire'?","Perdere","Ottenere","Rinunciare",1,"'Conseguire' significa 'ottenere un risultato'.",B2,GPT4
1071,"Qual è il participio passato del verbo 'correre'?","corso","corrito","corso",0,"La forma corretta è 'corso'.",B1,GPT4
1072,"Qual è il sinonimo di 'veloce'?","Lento","Rapido","Graduale",1,"'Rapido' è un sinonimo di 'veloce'.",A2,GPT4
1073,"Qual è la forma corretta del congiuntivo presente del verbo 'essere' per 'noi'?","siamo","siate","siano",0,"La forma corretta è 'siamo'.",B2,GPT4
1074,"Qual è il significato di 'insistere'?","Arrendersi","Perseverare","Ignorare",1,"'Insistere' significa 'perseverare' o 'non arrendersi'.",B2,GPT4
1075,"Qual è la forma corretta del futuro anteriore del verbo 'fare' per 'io'?","avrò fatto","sarò fatto","facevo",0,"La forma corretta è 'avrò fatto'.",B2,GPT4
1076,"Qual è il sinonimo di 'intelligente'?","Stupido","Saggio","Astuto",2,"'Astuto' è un sinonimo di 'intelligente'.",A2,GPT4
1077,"Qual è il significato di 'confondere'?","Chiarire","Mescolare","Capire",1,"'Confondere' significa 'mescolare' o 'rendere poco chiaro'.",B2,GPT4
1078,"Qual è il participio passato del verbo 'chiudere'?","chiuso","chiudito","chiuso",0,"La forma corretta è 'chiuso'.",B1,GPT4
1079,"Qual è il sinonimo di 'antico'?","Moderno","Vecchio","Recente",1,"'Vecchio' è un sinonimo di 'antico'.",A2,GPT4
1080,"Qual è la forma corretta del congiuntivo presente del verbo 'scrivere' per 'noi'?","scriviamo","scrivete","scrivano",0,"La forma corretta è 'scriviamo'.",B2,GPT4
1081,"Qual è il significato di 'mentire'?","Dire la verità","Ingannare","Sbagliare",1,"'Mentire' significa 'ingannare' o 'dire qualcosa di falso'.",B2,GPT4
1082,"Qual è il participio passato del verbo 'essere'?","stato","essuto","stati",0,"La forma corretta è 'stato'.",B1,GPT4
1083,"Qual è il sinonimo di 'distruggere'?","Costruire","Rovinare","Migliorare",1,"'Rovinare' è un sinonimo di 'distruggere'.",A2,GPT4
1084,"Qual è la forma corretta del congiuntivo presente del verbo 'vedere' per 'noi'?","vediamo","vedano","vediate",0,"La forma corretta è 'vediamo'.",B2,GPT4
1085,"Qual è il significato di 'ammettere'?","Negare","Rifiutare","Accettare",2,"'Ammettere' significa 'accettare' o 'riconoscere'.",B2,GPT4
1086,"Qual è il sinonimo di 'grasso'?","Magro","Obeso","Sottile",1,"'Obeso' è un sinonimo di 'grasso'.",A2,GPT4
1087,"Qual è il significato di 'collaborare'?","Lavorare da solo","Rifiutare","Lavorare insieme",2,"'Collaborare' significa 'lavorare insieme'.",B2,GPT4
1088,"Qual è il participio passato del verbo 'mettere'?","messo","mettiuto","mettiato",0,"La forma corretta è 'messo'.",B1,GPT4
1089,"Qual è il sinonimo di 'piangere'?","Ridere","Lacrime","Sorridere",1,"'Lacrime' è un sinonimo di 'piangere'.",A2,GPT4
1090,"Qual è la forma corretta del congiuntivo presente del verbo 'stare' per 'noi'?","stiamo","stiate","stano",0,"La forma corretta è 'stiamo'.",B2,GPT4
1091,"Qual è il significato di 'rallentare'?","Accelerare","Fermare","Ridurre la velocità",2,"'Rallentare' significa 'ridurre la velocità'.",B2,GPT4
1092,"Qual è il sinonimo di 'facile'?","Difficile","Semplice","Complicato",1,"'Semplice' è un sinonimo di 'facile'.",A2,GPT4
1093,"Qual è il significato di 'riparare'?","Romper","Aggiustare","Complicare",1,"'Riparare' significa 'aggiustare' o 'mettere a posto'.",B2,GPT4
1094,"Qual è il participio passato del verbo 'morire'?","morto","moriuto","morito",0,"La forma corretta è 'morto'.",B1,GPT4
1095,"Qual è la forma corretta del congiuntivo presente del verbo 'leggere' per 'noi'?","leggiamo","leggete","leggano",0,"La forma corretta è 'leggiamo'.",B2,GPT4
